dt,dt_iso,timezone,city_name,lat,lon,rain_1h,rain_3h
1683100800,2023-05-03 08:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.56,
1683104400,2023-05-03 09:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,3.13
1683108000,2023-05-03 10:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,3.13
1683111600,2023-05-03 11:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683115200,2023-05-03 12:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683118800,2023-05-03 13:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683122400,2023-05-03 14:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.34,
1683126000,2023-05-03 15:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,2.88
1683129600,2023-05-03 16:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683133200,2023-05-03 17:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,1
1683136800,2023-05-03 18:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,1
1683140400,2023-05-03 19:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683144000,2023-05-03 20:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,1.23,
1683147600,2023-05-03 21:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.99,
1683151200,2023-05-03 22:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683154800,2023-05-03 23:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.93,
1683158400,2023-05-04 00:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,1.44,
1683162000,2023-05-04 01:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,2.88,
1683165600,2023-05-04 02:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.72,
1683169200,2023-05-04 03:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.76,
1683172800,2023-05-04 04:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683176400,2023-05-04 05:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683180000,2023-05-04 06:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683183600,2023-05-04 07:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683187200,2023-05-04 08:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,1.27,
1683190800,2023-05-04 09:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.25,
1683194400,2023-05-04 10:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683198000,2023-05-04 11:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.51,
1683201600,2023-05-04 12:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.51,
1683205200,2023-05-04 13:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683208800,2023-05-04 14:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683212400,2023-05-04 15:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683216000,2023-05-04 16:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683219600,2023-05-04 17:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683223200,2023-05-04 18:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683226800,2023-05-04 19:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,
1683230400,2023-05-04 20:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,0.19
1683234000,2023-05-04 21:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,,0.19
1683237600,2023-05-04 22:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,3.05,
1683241200,2023-05-04 23:00:00 +0000 UTC,-25200,Bedwell Bayfront Park,37.493,-122.173,0.93,
